List of ingredients,Recipe Name,Time Required (minutes),Style,Recipe (How to Make),Protein (g),Carbohydrates (g),Fats (g),Sides
"Rabbit, Tomatoes, Onion, Chili Powder",Rabbit Tomatoes Gravy,55,Andhra,"Marinate rabbit with turmeric, salt, heat oil, saute onions, garlic, tomatoes, add chili powder, coriander powder, garam masala, add rabbit, water, cook till tender.",28.6,34,4,Fruit Punch
"Rabbit, Tomatoes, Onion, Chili Powder",Spicy Rabbit Roast,50,Tamil Nadu,"Marinate rabbit with turmeric, chili powder, salt, heat oil, saute onions, garlic, curry leaves, add rabbit, roast till golden and dry.",26.1,15,4,Sweet Lassi
"Paneer, Capsicum, Tomatoes, Spices",Paneer Capsicum Masala,40,Punjabi,"Heat oil, saute onions, tomatoes, ginger-garlic paste, add paneer, capsicum, turmeric, chili powder, garam masala, stir-fry till capsicum soft.",20.7,31,12,Sweet Lassi
"Paneer, Capsicum, Tomatoes, Spices",Spicy Paneer Stir-fry,30,South Indian,"Heat oil, splutter cumin, onions, add paneer, turmeric, chili powder, salt, stir-fry till paneer is golden.",29.4,22,10,Mango Lassi
"Bottle Gourd, Tomatoes, Onion, Garlic, Spices",Lauki Tomatoes Curry,35,North Indian,"Heat oil, saute onions, tomatoes, garlic, add lauki, turmeric, chili powder, coriander powder, cook till lauki is soft.",14.9,27,13,Gulab Jamun
"Bottle Gourd, Tomatoes, Onion, Garlic, Spices",Spicy Lauki Masala,30,Gujarati,"Heat oil, splutter mustard seeds, curry leaves, add lauki, turmeric, chili powder, salt, stir-fry till cooked and dry.",19.4,36,10,Mango Lassi
"Crab, Coconut, Tamarind, Spices",Crab Masala Curry,60,Goan,"Heat oil, saute onions, garlic, tomatoes, add turmeric, chili powder, garam masala, add crab, water, simmer till cooked.",9.4,30,14,Gulab Jamun
"Crab, Coconut, Tamarind, Spices",Spicy Tamarind Crab Fry,55,Tamil Nadu,"Heat oil, splutter mustard seeds, curry leaves, add crab, turmeric, chili powder, tamarind pulp, salt, stir-fry till dry and coated.",13.5,16,16,Sweet Lassi
"Radish, Tomatoes, Onion, Ginger, Spices",Mooli Masala Curry,40,North Indian,"Heat oil, saute onions, tomatoes, garlic, add radish, turmeric, chili powder, coriander powder, cook till radish is tender.",15.9,30,11,Gulab Jamun
"Radish, Tomatoes, Onion, Ginger, Spices",Spicy Radish Fry,30,South Indian,"Heat oil, splutter mustard seeds, curry leaves, red chilies, add radish, turmeric, chili powder, salt, stir-fry till crispy.",22,20,16,Sweet Lassi
"Quail, Yogurt, Garlic, Spices",Quail Masala Curry,65,Mughlai,"Marinate quail with turmeric, salt, heat oil, saute onions, tomatoes, ginger-garlic paste, add quail, turmeric, chili powder, garam masala, cook till tender.",27.2,36,8,Sweet Lassi
"Quail, Yogurt, Garlic, Spices",Spicy Quail Fry,55,Hyderabadi,"Marinate quail with turmeric, chili powder, salt, heat oil, fry garlic, curry leaves, onions, add quail, fry till crispy.",2.3,15,19,Vanilla Ice Cream
"Broccoli, Tomatoes, Onion, Garlic, Spices",Broccoli Tomatoes Curry,35,North Indian,"Heat oil, saute onions, tomatoes, garlic, add broccoli, turmeric, chili powder, coriander powder, cook till broccoli is soft.",15.3,29,8,Mango Lassi
"Broccoli, Tomatoes, Onion, Garlic, Spices",Spicy Broccoli Masala,30,South Indian,"Heat oil, splutter mustard seeds, curry leaves, add broccoli, turmeric, chili powder, salt, stir-fry till dry and roasted.",14.7,33,13,Mango Lassi
"Mutton, Spinach, Onion, Ginger, Spices",Mutton Palak Curry,65,North Indian,"Heat oil, saute onions, ginger-garlic paste, add mutton, turmeric, chili powder, coriander powder, add spinach, cook till mutton is tender.",29.8,31,8,Mango Lassi
"Mutton, Spinach, Onion, Ginger, Spices",Spicy Mutton Spinach Gravy,60,Punjabi,"Heat oil, saute onions, garlic, tomatoes, add mutton, turmeric, chili powder, garam masala, add spinach, cook till mutton is soft.",3.3,21,6,Vanilla Ice Cream
"Sweet Potato, Coconut Milk, Spices",Sweet Potato Coconut Curry,40,South Indian,"Heat oil, saute onions, garlic, tomatoes, add sweet potatoes, turmeric, chili powder, pour coconut milk, simmer till soft.",19.1,42,10,Vanilla Ice Cream
"Sweet Potato, Coconut Milk, Spices",Spicy Sweet Potato Masala,35,Maharashtrian,"Heat oil, splutter mustard seeds, curry leaves, add sweet potatoes, turmeric, chili powder, salt, stir-fry till crispy.",18.9,47,8,Gulab Jamun
"Pigeon Meat, Onion, Tomatoes, Spices",Pigeon Meat Curry,70,Andhra,"Marinate pigeon with turmeric, salt, heat oil, saute onions, ginger-garlic paste, tomatoes, add pigeon, turmeric, chili powder, garam masala, cook till tender.",21.5,35,8,Gulab Jamun
"Pigeon Meat, Onion, Tomatoes, Spices",Spicy Pigeon Roast,60,Tamil Nadu,"Marinate pigeon with turmeric, chili powder, salt, heat oil, saute onions, garlic, curry leaves, add pigeon, roast till browned and cooked.",16.5,25,5,Sweet Lassi
"Carrot, Green Peas, Tomatoes, Spices",Carrot Peas Curry,30,North Indian,"Heat oil, saute cumin, onions, tomatoes, add carrots, peas, turmeric, chili powder, coriander powder, cook till vegetables are soft.",25.5,30,14,Mango Lassi
"Carrot, Green Peas, Tomatoes, Spices",Spicy Carrot Masala Fry,25,South Indian,"Heat oil, splutter mustard seeds, curry leaves, add carrots, turmeric, chili powder, salt, stir-fry till crispy.",24.6,35,15,Sweet Lassi
"Fish, Green Mango, Mustard, Spices",Fish Mango Curry,50,Bengali,"Heat oil, saute onions, garlic, tomatoes, add raw mango slices, chili powder, turmeric, coriander powder, add fish, simmer till cooked.",2.7,35,10,Sweet Lassi
"Fish, Green Mango, Mustard, Spices",Spicy Green Mango Fish Fry,45,Kerala,"Marinate fish with turmeric, chili powder, salt, green mango paste, heat oil, fry fish till crispy.",26.1,17,15,Mango Lassi
"Cabbage, Tomatoes, Onion, Spices",Cabbage Tomatoes Curry,30,North Indian,"Heat oil, splutter mustard seeds, curry leaves, onions, tomatoes, add cabbage, turmeric, chili powder, cook till tender.",27.3,31,13,Sweet Lassi
"Cabbage, Tomatoes, Onion, Spices",Spicy Cabbage Masala,25,South Indian,"Heat oil, splutter mustard seeds, red chilies, curry leaves, add cabbage, turmeric, chili powder, salt, stir-fry till crisp.",11.9,39,14,Mango Lassi
"Turkey, Tomatoes, Garlic, Spices",Turkey Masala Curry,65,Mughlai,"Heat oil, saute onions, ginger-garlic paste, tomatoes, add turkey, turmeric, chili powder, coriander powder, garam masala, cook till tender.",21.1,39,11,Sweet Lassi
"Turkey, Tomatoes, Garlic, Spices",Spicy Turkey Roast,55,Hyderabadi,"Marinate turkey with turmeric, chili powder, salt, heat oil, saute onions, garlic, curry leaves, roast turkey till golden brown.",25.5,15,7,Mango Lassi
"Chicken, Yogurt, Garlic, Spices",Chicken Yogurt Curry,60,Mughlai,"Heat oil, saute onions, ginger-garlic paste, add chicken, turmeric, chili powder, coriander powder, add yogurt, simmer till tender.",10.2,39,14,Sweet Lassi
"Chicken, Yogurt, Garlic, Spices",Spicy Chicken Yogurt Fry,55,Hyderabadi,"Marinate chicken with yogurt, turmeric, chili powder, salt, heat oil, saute onions, garlic, fry chicken till crispy.",21.1,29,18,Vanilla Ice Cream
"Chicken, Coconut Milk, Ginger, Spices",Chicken Coconut Curry,50,Kerala,"Heat oil, saute onions, ginger-garlic paste, tomatoes, add chicken, turmeric, chili powder, coconut milk, simmer till chicken is tender.",28.9,32,12,Sweet Lassi
"Chicken, Coconut Milk, Ginger, Spices",Spicy Kerala Chicken Fry,45,Kerala,"Marinate chicken with turmeric, chili powder, ginger, garlic, vinegar, salt, heat coconut oil, fry chicken with curry leaves.",19.1,26,14,Sweet Lassi
"Chicken, Tomatoes, Onion, Garlic, Spices",Chicken Masala Curry,55,North Indian,"Heat oil, saute onions, ginger-garlic paste, tomatoes, add chicken, turmeric, chili powder, coriander powder, garam masala, cook till tender.",5.5,34,10,Gulab Jamun
"Chicken, Tomatoes, Onion, Garlic, Spices",Spicy Chicken Tikka Masala,60,Punjabi,"Marinate chicken with yogurt, chili powder, garam masala, grill till charred, cook in tomato gravy with cream, spices.",5.8,36,8,Mango Lassi
"Chicken, Spinach, Onion, Garlic, Spices",Chicken Palak Curry,65,North Indian,"Heat oil, saute onions, ginger-garlic paste, tomatoes, add chicken, turmeric, chili powder, coriander powder, add spinach puree, cook till chicken is tender.",19.2,39,10,Gulab Jamun
"Chicken, Spinach, Onion, Garlic, Spices",Spicy Chicken Spinach Fry,50,South Indian,"Marinate chicken with turmeric, chili powder, salt, heat oil, saute garlic, spinach, add chicken, stir-fry till cooked.",24.4,19,13,Mango Lassi
"Chicken, Green Mango, Mustard, Spices",Mango Chicken Curry,55,Bengali,"Heat oil, saute onions, ginger-garlic paste, add chicken, turmeric, chili powder, coriander powder, add ripe mango pulp, simmer till chicken is tender.",26,36,14,Vanilla Ice Cream
"Chicken, Green Mango, Mustard, Spices",Spicy Green Mango Chicken Fry,45,Kerala,"Marinate chicken with turmeric, chili powder, green mango paste, heat oil, fry chicken till crispy.",10.8,29,11,Mango Lassi
"Chicken, Carrot, Peas, Spices",Chicken Carrot Peas Curry,50,North Indian,"Heat oil, saute onions, ginger-garlic paste, add chicken, carrots, peas, turmeric, chili powder, coriander powder, cook till chicken is tender.",21.3,39,12,Mango Lassi
"Chicken, Carrot, Peas, Spices",Spicy Chicken Carrot Fry,45,South Indian,"Heat oil, saute garlic, onions, add chicken, carrots, turmeric, chili powder, salt, stir-fry till chicken is cooked.",11.3,17,12,Mango Lassi
"Chicken, Potatoes, Onion, Spices",Chicken Aloo Curry,60,North Indian,"Heat oil, saute onions, ginger-garlic paste, tomatoes, add chicken, potatoes, turmeric, chili powder, coriander powder, cook till tender.",7.8,31,12,Gulab Jamun
"Chicken, Potatoes, Onion, Spices",Spicy Chicken Aloo Masala,55,Punjabi,"Marinate chicken with turmeric, chili powder, salt, heat oil, fry potatoes, add chicken, onions, tomatoes, cook till dry.",23.5,38,13,Sweet Lassi
"Chicken, Bell Pepper, Onion, Spices",Chicken Bell Pepper Curry,50,Punjabi,"Heat oil, saute onions, ginger-garlic paste, tomatoes, add chicken, turmeric, chili powder, coriander powder, add bell peppers, cook till tender.",29.4,34,12,Mango Lassi
"Chicken, Bell Pepper, Onion, Spices",Spicy Chicken Pepper Fry,45,South Indian,"Marinate chicken with turmeric, pepper, salt, heat oil, saute garlic, curry leaves, fry chicken till browned.",17.4,21,16,Mango Lassi
"Chicken, Egg, Onion, Garlic, Spices",Chicken Egg Curry,60,North Indian,"Heat oil, saute onions, ginger-garlic paste, tomatoes, add chicken, turmeric, chili powder, coriander powder, add boiled eggs, simmer.",8.5,39,13,Sweet Lassi
"Chicken, Egg, Onion, Garlic, Spices",Spicy Chicken Egg Fry,55,Andhra,"Boil eggs, marinate chicken with turmeric, chili powder, salt, heat oil, fry chicken, add boiled eggs, fry till coated.",13.5,22,11,Sweet Lassi
"Chicken, Mint, Yogurt, Spices",Chicken Mint Curry,60,Mughlai,"Heat oil, saute onions, ginger-garlic paste, tomatoes, add chicken, turmeric, chili powder, coriander powder, add mint leaves, cook till tender.",23.2,38,10,Vanilla Ice Cream
"Chicken, Mint, Yogurt, Spices",Spicy Mint Chicken Fry,50,Hyderabadi,"Marinate chicken with mint paste, turmeric, chili powder, salt, heat oil, fry chicken till crispy.",21.6,24,10,Vanilla Ice Cream
"Chicken, Tomatoes, Garlic, Spices",Chicken Tomatoes Garlic Curry,55,North Indian,"Heat oil, saute garlic, onions, tomatoes, add chicken, turmeric, chili powder, coriander powder, cook till chicken is tender.",13.5,23,8,Gulab Jamun
"Chicken, Tomatoes, Garlic, Spices",Spicy Garlic Chicken Fry,45,South Indian,"Marinate chicken with garlic paste, turmeric, chili powder, pepper, lemon juice, and salt for 30 mins . Heat oil, fry curry leaves, green chilies, and marinated chicken .Cook on medium heat till chicken is crispy and cooked through.",11.9,24,16,Gulab Jamun
"Chicken, Basmati Rice, Spices",Chicken Biryani,70,Mughlai,"Marinate chicken with yogurt, ginger-garlic paste, chili powder, garam masala, turmeric, and salt for 1 hour . Fry onions till golden, add marinated chicken, cook till half done .Cook basmati rice with whole spices until 70% cooked  Layer chicken and rice, top with fried onions, mint, coriander, and saffron milk .Cover, dum cook on low heat for 20-25 mins.",26.8,16,5,Soft Drink
"Chicken, Basmati Rice, Spices",Spicy Chicken Pulao,50,Hyderabadi,"Heat oil, saute onions, ginger-garlic paste, and spices (bay leaf, cinnamon, cloves, cardamom) .Add marinated chicken (with chili powder, turmeric, garam masala), cook till browned .Add basmati rice, water, salt, and cook till rice is fluffy.",3.1,26,7,Vanilla Ice Cream
"Egg, Basmati Rice, Spices",Egg Biryani,65,North Indian,"To prepare Egg Biryani, start by boiling eggs, peeling them, and marinating them with turmeric, red chili powder, and salt. Heat ghee in a pan, saute whole spices like bay leaves, cinnamon, and cloves, then add onions, green chilies, and ginger-garlic paste. Once the onions turn golden, add chopped tomatoes, yogurt, and biryani masala, cooking until oil separates. Add soaked basmati rice and water, layering with the marinated eggs. Cook on low heat until the rice is fluffy. Garnish with coriander and serve hot.",26.8,21,4,Milkshake
"Egg, Basmati Rice, Spices",Spicy Egg Pulao,50,South Indian,"Boil and peel eggs, then shallow fry them with turmeric, red chili powder, and salt. Heat oil in a pan, saute onions, green chilies, ginger-garlic paste, and whole spices. Add tomatoes and cook until soft. Add soaked basmati rice, water, and spice powders, mixing well. Place the fried eggs on top and cook covered until the rice is done. Garnish with mint and serve.",23.4,27,3,Mango Lassi
"Chicken, Coconut Milk, Rice",Chicken Coconut Milk Rice,60,South Indian,"Marinate chicken with salt, turmeric, and garam masala. In a pan, heat oil and add whole spices, onions, green chilies, and ginger-garlic paste. Once golden, add tomatoes and cook until soft. Add chicken and cook until slightly tender. Pour in coconut milk and water, then add soaked basmati rice. Cook on low heat until the rice is fluffy and the chicken is tender. Garnish with fried onions and serve.",10.7,24,7,Fruit Juice
"Chicken, Coconut Milk, Rice",Spicy Coconut Chicken Rice,55,Kerala,"Marinate chicken with red chili powder, turmeric, and salt. Heat coconut oil in a pan and saute onions, garlic, and green chilies. Add whole spices like cinnamon, cloves, and bay leaves. Stir in chopped tomatoes and cook until soft. Add marinated chicken and cook until half done. Pour in coconut milk and water, then add soaked basmati rice. Cover and simmer until the rice is cooked and the chicken is tender. Garnish with grated coconut and coriander.",8.9,28,3,Gulab Jamun
"Mutton, Basmati Rice, Spices",Mutton Biryani,80,Mughlai,"Marinate mutton with yogurt, turmeric, red chili powder, and garam masala. Heat ghee in a large pot, add bay leaves, cloves, cinnamon, and cardamom. Saute sliced onions until golden brown. Add ginger-garlic paste and tomatoes, cooking until oil separates. Add the marinated mutton and cook until tender. Add soaked basmati rice and water. Once it starts boiling, reduce heat, cover, and cook until rice is done. Garnish with fried onions and coriander.",22.6,28,6,Kulfi
"Mutton, Basmati Rice, Spices",Spicy Mutton Pulao,60,North Indian,"Marinate mutton with red chili powder, turmeric, and salt. In a pressure cooker, heat oil, and saute whole spices, onions, and green chilies. Add ginger-garlic paste and tomatoes. Stir in the marinated mutton and cook until tender. Add basmati rice, water, and salt. Close the lid and cook until the rice is fully done. Garnish with fresh coriander.",9.3,28,3,Mango Lassi
"Shrimp, Basmati Rice, Spices",Shrimp Biryani,75,Andhra,"Vermicelli is roasted in ghee and simmered in milk until soft. Sugar, cardamom, and nuts are added, creating a creamy dessert.",13.5,17,4,Soft Drink
"Shrimp, Basmati Rice, Spices",Spicy Shrimp Pulao,55,Kerala,"Marinate shrimp with red chili powder, turmeric, and salt. Heat oil in a pan, add whole spices, onions, and green chilies. Stir in tomatoes and cook until soft. Add soaked basmati rice, water, and salt. Once it starts boiling, add shrimp, cover, and cook until rice is done. Garnish with coriander.",25.2,17,3,Mango Lassi
"Paneer, Basmati Rice, Spices",Paneer Biryani,65,North Indian,"Cube paneer and marinate with yogurt, turmeric, garam masala, and salt. Heat ghee in a pot, add whole spices, onions, and ginger-garlic paste. Stir in tomatoes and cook until soft. Add marinated paneer and saute briefly. Add soaked basmati rice, water, and salt. Cover and cook on low heat until rice is cooked. Garnish with fried onions and mint leaves.",16.9,17,7,Kulfi
"Tofu, Basmati Rice, Spices",Tofu Pulao,50,South Indian,"Cube tofu and marinate with turmeric, red chili powder, and salt. Heat oil in a pan, saute onions, green chilies, and whole spices. Add tomatoes and cook until soft. Add soaked basmati rice, water, and salt. Once the water starts boiling, add tofu, cover, and cook until rice is done. Garnish with coriander.",6.5,28,4,Milkshake
"Mixed Vegetables, Basmati Rice, Spices",Vegetable Biryani,70,Mughlai,"Heat ghee in a large pot, add bay leaves, cinnamon, cloves, and cardamom. Saute sliced onions and ginger-garlic paste. Add chopped vegetables like carrots, beans, and peas. Stir in tomatoes and biryani masala. Add basmati rice and water. Cover and cook until rice is tender. Garnish with coriander and fried onions.",15.2,26,4,Milkshake
"Mixed Vegetables, Basmati Rice, Spices",Spicy Vegetable Pulao,55,North Indian,"Heat oil in a pan, add whole spices, onions, and green chilies. Add ginger-garlic paste and chopped tomatoes. Stir in chopped vegetables and cook briefly. Add basmati rice and water. Cover and cook until rice is fully cooked. Garnish with coriander.",15.6,29,6,Sweet Lassi
"Peas, Carrot, Basmati Rice, Spices",Peas Carrot Pulao,50,North Indian,"Heat oil, saute whole spices, onions, and garlic. Add chopped carrots and peas. Stir in basmati rice and water. Cover and cook until rice is done. Garnish with fried onions.",4.2,18,7,Kulfi
"Chicken, Tamarind, Spices",Chicken Tamarind Curry,60,Andhra,"Marinate chicken with turmeric, red chili powder, and salt. Heat oil, saute onions, ginger-garlic paste, and tomatoes. Add tamarind paste and water. Stir in chicken and cook until tender. Garnish with coriander.",25.5,32,9,Vanilla Ice Cream
"Chicken, Tamarind, Spices",Spicy Chicken Tamarind Fry,50,South Indian,"Marinate chicken with tamarind, red chili powder, turmeric, and salt. Heat oil, saute onions, and green chilies. Add marinated chicken and fry until crisp.",25.8,15,18,Gulab Jamun
"Fish, Coconut Milk, Ginger, Spices",Fish Curry with Coconut Milk,55,Kerala,"Marinate fish with turmeric and salt. Heat oil, saute onions, garlic, and tomatoes. Add coconut milk, tamarind, and spices. Add fish and simmer until cooked.",19.4,33,11,Mango Lassi
"Fish, Coconut Milk, Ginger, Spices",Spicy Fish Coconut Fry,50,Kerala,"Marinate fish with grated coconut, red chili powder, turmeric, and salt. Fry in hot oil until golden.",20.5,16,17,Gulab Jamun
"Chicken, Peas, Tomatoes, Spices",Chicken Peas Curry,45,North Indian,"Heat oil, saute onions, ginger-garlic paste, and tomatoes. Add marinated chicken and peas. Cook until tender. Garnish with coriander.",9.5,34,14,Gulab Jamun
"Chicken, Peas, Tomatoes, Spices",Spicy Chicken Peas Fry,40,South Indian,"Marinate chicken with spices. Heat oil, saute onions, and green chilies. Add marinated chicken and peas. Stir-fry until cooked.",25.9,15,18,Mango Lassi
"Lamb, Yogurt, Ginger, Spices",Lamb Yoghurt Curry,70,North Indian,"Marinate lamb with yogurt, turmeric, and spices. Heat oil, saute onions, garlic, and tomatoes. Add lamb and cook until tender. Garnish with coriander.",24.8,30,10,Gulab Jamun
"Lamb, Yogurt, Ginger, Spices",Spicy Lamb Yoghurt Fry,60,Punjabi,"Marinate lamb with yogurt, red chili powder, and turmeric. Heat oil, add marinated lamb, and fry until golden.",8.9,25,11,Sweet Lassi
"Egg, Onion, Tomatoes, Oil, Salt, Pepper",Scrambled Eggs,10,American,"Beat eggs with salt and pepper. Heat butter, pour eggs, and stir gently until soft and fluffy.",2.9,18,6,Fruit Juice
"Egg, Onion, Green Chili, Salt, Oil",Masala Omelette,15,Indian,"Beat eggs with salt and pepper. Heat butter, pour eggs, and stir gently until soft and fluffy.",23.8,39,8,Sweet Lassi
"Egg, Milk, Sugar, Bread, Butter",French Toast,15,French,"Mix eggs, milk, sugar, and cinnamon. Dip bread slices and fry in butter until golden.",7.5,21,4,Fruit Juice
"Flour, Sugar, Baking Powder, Milk, Butter, Egg",Pancakes,20,American,"Mix flour, eggs, milk, sugar, and baking powder. Cook batter on a hot pan until golden on both sides.",26.8,24,4,Milkshake
"Rice, Urad Dal, Fenugreek Seeds, Oil",Dosa,30,South Indian,Soak and grind rice and urad dal into a batter. Ferment overnight. Spread batter on a hot pan and cook until crisp.,29,26,3,Soft Drink
"Rice, Urad Dal, Salt, Oil",Idli,20,South Indian,Soak and grind rice and urad dal into a batter. Ferment overnight. Steam in molds until fluffy.,27.9,15,5,Soft Drink
"Semolina, Yogurt, Mustard Seeds, Green Chili",Rava Idli,25,South Indian,"Rava is lightly roasted in ghee until aromatic, then mixed with curd, water, salt, and a pinch of baking soda to form a thick batter. The batter is poured into greased idli molds and steamed until the idlis are fluffy and cooked through.",16.5,20,7,Milkshake
"Rice, Lentils, Tamarind, Spices",Pongal,30,South Indian,"Rice and moong dal are cooked together until soft, and a tempering of ghee, cumin seeds, crushed black pepper, ginger, curry leaves, and cashews is added, giving the dish its rich, comforting flavor.",29.5,29,5,Soft Drink
"Poha, Onion, Green Chili, Mustard Seeds, Turmeric",Kanda Poha,15,Maharashtrian,"Flattened rice (poha) is rinsed and softened, then tossed with Sauteed onions, green chilies, mustard seeds, curry leaves, turmeric, and peanuts. It's seasoned with salt and finished with a squeeze of lemon juice and fresh coriander.",28.3,29,6,Milkshake
"Gram Flour, Yogurt, Turmeric, Spices",Khaman Dhokla,25,Gujarati,"A batter is made using gram flour, curd, water, turmeric, and salt. Eno is added just before steaming to make it fluffy. The steamed dhokla is tempered with mustard seeds, green chilies, curry leaves, and sugar syrup, giving it a sweet and tangy flavor.",8.2,15,6,Soft Drink
"Bread, Butter, Cheese",Grilled Cheese Sandwich,10,American,"Bread slices are buttered on the outside, filled with grated or sliced cheese, and grilled in a sandwich maker or on a pan until the bread is crisp and the cheese is melted and gooey.",15.7,24,3,Soft Drink
"Bread, Cucumber, Tomatoes, Butter",Vegetable Sandwich,10,Indian,"Fresh bread slices are layered with butter, green chutney, sliced cucumber, tomatoes, onions, and a sprinkle of chaat masala. They are either served cold or grilled for a warm, toasty version.",29.3,21,6,Fruit Juice
"Oats, Milk, Honey, Nuts",Oatmeal,10,Western,"Oats are cooked in milk or water until soft and creamy. Sweetened with sugar, honey, or fruits, it is topped with nuts, seeds, or berries for added texture and flavor.",11.8,25,7,Milkshake
"Chickpea Flour, Onion, Tomatoes, Spices",Besan Chilla,20,North Indian,"Gram flour is mixed with water, finely chopped onions, tomatoes, green chilies, and spices like turmeric and cumin to form a batter. It is spread onto a hot tawa and cooked until golden on both sides.",7.7,16,3,Fruit Juice
"Wheat Flour, Yogurt, Baking Soda",Appam,30,Kerala,"A fermented batter of rice and coconut is poured into a special appam pan. The pan is swirled to spread the batter thin at the edges, resulting in crisp edges and a soft, fluffy center.",19.4,20,6,Milkshake
"Wheat Flour, Potato, Spices",Aloo Paratha,30,Punjabi,"A spiced potato filling is made with boiled potatoes, onions, green chilies, coriander, and spices. This filling is stuffed into wheat flour dough, rolled out, and cooked on a tawa with ghee until golden brown.",7.9,24,4,Fruit Juice
"Cornmeal, Salt, Water",Upma,15,South Indian,"Rava is dry roasted, and a tempering of mustard seeds, cumin, curry leaves, green chilies, ginger, and onions is prepared. Water is added, and the roasted rava is stirred in and cooked until it absorbs all the water and b",27.1,29,4,Kulfi
"Banana, Flour, Jaggery, Cardamom",Banana Pancake,20,Kerala,"Mashed ripe bananas are mixed with flour, sugar, baking powder, and milk to form a thick batter. It is ladled onto a hot pan and cooked until both sides are golden brown.",10.5,29,7,Fruit Juice
"Rice, Jaggery, Coconut",Puttu,25,Kerala,Coarse rice flour is moistened with water and layered with grated coconut in a cylindrical puttu maker. It is steamed until firm and fluffy.,19.8,29,5,Soft Drink
"Rice Flour, Coconut, Jaggery, Cardamom",Patholi,30,Konkani,"A dough made from rice flour is spread onto turmeric leaves, filled with a mixture of grated coconut and jaggery flavored with cardamom, folded, and steamed until the leaf imparts its aroma to the sweet filling.",18.6,19,3,Soft Drink
"Black Gram, Rice, Salt, Oil",Pesarattu,25,Andhra,"Soaked green gram is blended into a smooth batter with ginger, green chilies, and cumin. The batter is spread thinly on a hot tawa, topped with chopped onions, and cooked until crisp.",4,23,4,Milkshake
"Wheat Flour, Fenugreek Leaves, Spices",Methi Thepla,25,Gujarati,"Wheat flour is kneaded with finely chopped fenugreek leaves, curd, turmeric, chili powder, and spices. It is rolled into thin flatbreads and cooked on a tawa with oil until golden.",8.6,18,5,Fruit Juice
"Chickpea Flour, Yogurt, Spices",Handvo,40,Gujarati,"A batter of fermented rice, lentils, and curd is combined with grated bottle gourd and spices. It is poured into a greased pan and cooked on low heat or baked until golden and crisp.",14.2,20,4,Soft Drink
"Millets, Jaggery, Coconut, Cardamom",Ragi Mudde,20,Karnataka,Ragi flour is cooked in boiling water with constant stirring until it forms a soft dough. It is shaped into balls and served hot with sambar or chutney.,9.4,28,3,Fruit Juice
"Maida, Milk, Sugar, Ghee",Malpua,30,Rajasthani,"A batter of flour, sugar, and milk is flavored with fennel and cardamom. It is fried in ghee to make crisp-edged pancakes, which are then soaked in sugar syrup.",10.4,24,5,Soft Drink
"Flattened Rice, Jaggery, Coconut, Banana",Aval Nanachathu,10,Kerala,"Flattened rice is soaked in coconut milk and mixed with grated coconut, jaggery, and ripe bananas, making a simple, sweet dish.",26.3,16,5,Soft Drink
"Rice Flour, Coconut, Jaggery, Banana Leaves",Ela Ada,25,Kerala," Rice flour is kneaded into a soft dough with hot water. It is spread on banana leaves, filled with grated coconut and jaggery mixture, folded, and steamed.",15.6,17,5,Kulfi
"Pearl Millet Flour, Yogurt, Onions",Bajra Khichdi,30,Rajasthani,"Bajra is soaked and pounded, then cooked with moong dal, rice, cumin, ginger, and ghee until soft and porridge-like.",23.5,28,6,Kulfi
"Corn, Rice Flour, Buttermilk",Makki Ka Cheela,20,North Indian,"Cornmeal is mixed with chopped onions, green chilies, coriander, and water to form a batter. It is spread on a hot tawa and cooked until crisp.",26.4,15,4,Milkshake
"Buckwheat Flour, Potatoes, Spices",Kuttu Paratha,25,North Indian,"Buckwheat flour is mixed with boiled mashed potatoes, green chilies, and salt to form a dough. It is rolled out and cooked on a tawa with ghee.",9,26,3,Milkshake
"Sprouted Moong, Green Chili, Coriander",Moonglet,20,North Indian,"Soaked moong dal is blended into a thick batter with ginger, green chilies, and cumin. It is poured thickly onto a hot tawa, topped with chopped vegetables, and cooked until crispy outside and soft inside.",7.3,21,4,Fruit Juice
"Semolina, Yogurt, Carrots, Spices",Rava Uttapam,20,South Indian,"Semolina is mixed with curd, water, salt, and allowed to rest. The batter is poured onto a tawa, topped with onions, tomatoes, and green chilies, and cooked until the bottom is golden.",16.8,17,3,Milkshake
"Rice, Coconut, Sugar, Ghee",Neer Dosa,30,Karnataka,"Soaked rice is blended with water into a thin batter. It is poured onto a hot tawa, forming a lace-like dosa, and cooked without flipping.",9,18,3,Milkshake
"Banana, Wheat Flour, Jaggery, Cardamom",Banana Paniyaram,25,Tamil Nadu,"Ripe bananas are mashed and mixed with jaggery, rice flour, and cardamom. This batter is poured into a paniyaram pan and cooked until golden.",21.4,27,6,Fruit Juice
"Fox Millet, Jaggery, Coconut",Thinai Pongal,30,Tamil Nadu,"Foxtail millet is cooked with moong dal until soft. A tempering of ghee, cumin, pepper, ginger, and cashews is added to enhance flavor.",3.7,24,3,Milkshake
"Rice, Curd, Mustard Seeds, Curry Leaves",Curd Rice,15,South Indian,"Cooked rice is mashed and mixed with curd and salt. It is tempered with mustard seeds, curry leaves, green chilies, ginger, and garnished with coriander.",4.1,22,4,Soft Drink
